Head,Time,Location,Speed,Odometer
GSDC H-1706 NFY5914,2025-06-01 12:26:00,"RW46+GV Balagtas, Bulacan",0,64364.67
GSDC H-1017 NCG4618,2025-06-01 12:29:00,"V39G+75 Norzagaray, Bulacan",0,42153.68
GSDC H-1294/NBA1698,2025-05-30 22:06:00,"49 Puting Bato - Solid Cement Road, Antipolo, 1870 Rizal",0,0.0
GSDC H-1296 NBA1689,2025-06-01 12:29:00,"V39G+63 Norzagaray, Bulacan",0,97845.0
GSDC H-1902 NFJ4010,2025-06-01 12:30:00,"49 Puting Bato - Solid Cement Road, Antipolo, 1870 Rizal",0,32310.99
GSDC H-1287/NBA1688,2025-06-01 12:30:00,"V39G+83 Norzagaray, Bulacan",0,22973.62
GSDC H-1998 NFL4215,2025-05-19 19:42:00,"V39G+WJM, Norzagaray, Bulacan",0,0.0
